10,error,47,ARROYO LAS GOLONDRINAS,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 9 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],33996877.5851,33996877.5851,,
11,error,69,ATASTA,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 10 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],198563206.1849,198563206.1849,,
12,error,69,ATASTA,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 10 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],991536.6146,991536.6146,,
13,error,69,ATASTA,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 10 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],6536853.5781,6536853.5781,,
14,error,14,BACABCHEN,ejido,4,2502,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 11 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],72949726.5536,72949726.5536,,
15,error,4,BECAL,ejido,4,2502,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 12 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],120579240.4575,120579240.4575,,
16,error,62,BECAN,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 13 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],22950963.4647,22950963.4647,,
17,error,4,BELEN Y SU ANEXO EL SAUZ,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 14 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],20536116.9412,20536116.9412,,
18,error,39,BELLA UNION DE VERACRUZ,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 15 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],21179679.3888,21179679.3888,,
19,error,21,BENITO JUAREZ NO. 2,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 16 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],19962370.7504,19962370.7504,,
20,error,8,BLANCA FLOR,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 17 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],3480595.8718,3480595.8718,,
21,error,8,BLANCA FLOR,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 17 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],12445385.1949,12445385.1949,,
22,error,23,BOLONCHENCAHUICH,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 18 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],49420047.8413,49420047.8413,,
23,error,24,BOLONCHENTICUL,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 19 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],736894454.1308,736894454.1308,,
24,error,24,BOLONCHENTICUL,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 19 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],16768115.8965,16768115.8965,,
25,error,24,BOLONCHENTICUL,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 19 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],208585977.8255,208585977.8255,,
26,error,39,BUENAVENTURA,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 20 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],26124780.6177,26124780.6177,,
27,error,48,CAMPO DE LA OLLA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 21 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],20325623.5595,20325623.5595,,
28,error,10,CANASAYAB,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 22 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],22756895.6563,22756895.6563,,
29,error,13,CANCABCHEN,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 23 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],241252741.1897,241252741.1897,,
30,error,1,CANDELARIA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 24 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],12823481.9247,12823481.9247,,
31,error,1,CANDELARIA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 24 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],43391675.4043,43391675.4043,,
32,error,1,CANDELARIA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 24 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],45223369.2181,45223369.2181,,
33,error,1,CANDELARIA,ejido,4,2512,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 24 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],20830956.0519,20830956.0519,,
34,error,63,CAÑA BRAVA,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 25 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],20446631.8430,20446631.8430,,
35,error,46,CARLOS A. MADRAZO,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 26 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],16272599.8022,16272599.8022,,
36,error,34,CARLOS SALINAS DE GORTARI,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 27 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],34893101.4023,34893101.4023,,
37,error,8,CASTAMAY,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 28 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],28531715.5017,28531715.5017,,
38,error,8,CASTAMAY,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 28 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],18869631.7540,18869631.7540,,
39,error,10,CAYAL,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 29 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],23536692.3650,23536692.3650,,
40,error,36,CHACCHEITO,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 30 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],36235700.5687,36235700.5687,,
41,error,28,CHAMPOTON,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 31 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],586407516.4895,586407516.4895,,
42,error,28,CHAMPOTON,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 31 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],51396204.8632,51396204.8632,,
43,error,28,CHAMPOTON,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 31 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],69774913.2596,69774913.2596,,
44,error,28,CHAMPOTON,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 31 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],27896893.3947,27896893.3947,,
45,error,4,CHANCHEN,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 32 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],19303590.1201,19303590.1201,,
46,error,59,CHAN LAGUNA,ejido,4,2510,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 33 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],33185438.6516,33185438.6516,,
47,error,75,CHEKUBUL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 34 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],1978048.3768,1978048.3768,,
48,error,75,CHEKUBUL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 34 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]","[{""campo"": ""geometria"", ""codigo"": ""EXTRACCION_POLIGONOS"", ""mensaje"": ""Se extrajeron los componentes poligonales de GeometryCollection.""}]",21321139.6382,21321139.6382,,
49,error,75,CHEKUBUL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 34 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],51667912.4874,51667912.4874,,
50,error,75,CHEKUBUL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 34 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],10770011.9075,10770011.9075,,
51,error,7,CHEMBLAS,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 35 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],19817584.5331,19817584.5331,,
52,error,14,CHENCOH,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 36 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],344708845.3911,344708845.3911,,
53,error,14,CHENCOH,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 36 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],61559046.4988,61559046.4988,,
54,error,12,CHENCOHUOH,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 37 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],16830203.9067,16830203.9067,,
55,error,11,CHENCOYI,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 38 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],14473062.4537,14473062.4537,,
56,error,76,CHICBUL,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 39 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],65921206.5021,65921206.5021,,
57,error,44,CHILAM BALAM,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 40 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],39831276.4819,39831276.4819,,
58,error,9,CHILIB,ejido,4,2509,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 41 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],12590122.4481,12590122.4481,,
59,error,101,CHIMAY,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 42 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],66201415.7081,66201415.7081,,
60,error,3,CHINA,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 43 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],22752058.2283,22752058.2283,,
61,error,3,CHINA,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 43 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],80113209.3019,80113209.3019,,
62,error,3,CHINA,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 43 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],6440971.9194,6440971.9194,,
63,error,106,CHONTALPA,ejido,4,2504,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 44 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],28552972.1490,28552972.1490,,
64,error,27,CHUNCEDRO,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 45 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],20984709.0238,20984709.0238,,
65,error,5,CHUN EK,ejido,4,2507,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 46 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],156085366.7812,156085366.7812,,
66,error,11,CHUNHUAS,ejido,4,2502,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 47 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],3920469.9861,3920469.9861,,
67,error,11,CHUNHUAS,ejido,4,2502,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 47 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],37143787.6956,37143787.6956,,
68,error,1,CHUNKANAN,ejido,4,2506,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 48 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],58044540.4040,58044540.4040,,
