archivo,hoja,columna_excel,bloque_encabezado,nombre_exacto_excel,significado_normalizado,ambito,tabla_columna_bd,schema_pydantic,endpoint,pantalla_control_ui,estado
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,K,ASAMBLEA DE ANUENCIA Y APROBACIÓN DEL CONVENIO DE OCUPACIÓN PREVIA (COP) → Acta Inscrita en el RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,L,ASAMBLEA DE ANUENCIA Y APROBACIÓN DEL CONVENIO DE OCUPACIÓN PREVIA (COP) → Acta Inscrita en el RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,M,CONVENIO DE OCUPACIÓN PREVIA - INSCRIPCIÓN → Convenio firmado,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,N,CONVENIO DE OCUPACIÓN PREVIA - INSCRIPCIÓN → Convenio firmado,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,O,CONVENIO DE OCUPACIÓN PREVIA - INSCRIPCIÓN → COP Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,P,CONVENIO DE OCUPACIÓN PREVIA - INSCRIPCIÓN → COP Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,Q,CONVENIO DE OCUPACIÓN PREVIA - INSCRIPCIÓN → COP Inscrito RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,R,CONVENIO DE OCUPACIÓN PREVIA - INSCRIPCIÓN → COP Inscrito RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,S,CONVENIO MODIFICATORIO-INSCRIPCIÓN → Convenio firmado,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,T,CONVENIO MODIFICATORIO-INSCRIPCIÓN → Convenio firmado,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,U,CONVENIO MODIFICATORIO-INSCRIPCIÓN → CONVENIO Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,V,CONVENIO MODIFICATORIO-INSCRIPCIÓN → CONVENIO Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,W,CONVENIO MODIFICATORIO-INSCRIPCIÓN → CONVENIO Inscrito RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,X,CONVENIO MODIFICATORIO-INSCRIPCIÓN → CONVENIO Inscrito RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,Y,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Caminamiento,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,Z,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Caminamiento,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AA,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Asambleas,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AB,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Asambleas,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AC,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AD,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AE,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Acta Inscrita en el RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AF,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Acta Inscrita en el RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AG,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Convenio firmado,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AH,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → Convenio firmado,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AI,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → CONVENIO Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AJ,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → CONVENIO Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AK,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → CONVENIO Inscrito RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AL,ASAMBLEA DE ANUENCIA Y APROBACIÓN DE CONVENIO SUPERFICIE ADICIONAL → CONVENIO Inscrito RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AM,OBRAS COMPLEMENTARIAS → Caminamiento,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AN,OBRAS COMPLEMENTARIAS → Caminamiento,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AO,OBRAS COMPLEMENTARIAS → Asambleas para aceptación de firma de COP,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AP,OBRAS COMPLEMENTARIAS → Asambleas para aceptación de firma de COP,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AQ,OBRAS COMPLEMENTARIAS → Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AR,OBRAS COMPLEMENTARIAS → Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AS,OBRAS COMPLEMENTARIAS → Acta Inscrita en el RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AT,OBRAS COMPLEMENTARIAS → Acta Inscrita en el RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AU,OBRAS COMPLEMENTARIAS → Convenio firmado,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AV,OBRAS COMPLEMENTARIAS → Convenio firmado,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AW,OBRAS COMPLEMENTARIAS → CONVENIO Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AX,OBRAS COMPLEMENTARIAS → CONVENIO Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AY,OBRAS COMPLEMENTARIAS → CONVENIO Inscrito RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,AZ,OBRAS COMPLEMENTARIAS → CONVENIO Inscrito RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BA,ASAMBLEAS RETIRO DE FONDOS → Asamblea,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BB,ASAMBLEAS RETIRO DE FONDOS → Asamblea,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BC,ASAMBLEAS RETIRO DE FONDOS → Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BD,ASAMBLEAS RETIRO DE FONDOS → Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BE,ASAMBLEAS RETIRO DE FONDOS → Acta Inscrita en el RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BF,ASAMBLEAS RETIRO DE FONDOS → Acta Inscrita en el RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,BG,General,Expropiación directa,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,A,General,(encabezado vacío dentro del bloque físico),indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,B,OCUPACIÓN PREVIA → COP´S FIRMADOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,C,OCUPACIÓN PREVIA → COP´S FIRMADOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,D,OCUPACIÓN PREVIA → COP´S FIRMADOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,E,OCUPACIÓN PREVIA → COP´S FIRMADOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,F,OCUPACIÓN PREVIA → COP´S FIRMADOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,G,OCUPACIÓN PREVIA → COP´S INGRESADOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,H,OCUPACIÓN PREVIA → COP´S INGRESADOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,I,OCUPACIÓN PREVIA → COP´S INGRESADOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,J,OCUPACIÓN PREVIA → COP´S INGRESADOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,K,OCUPACIÓN PREVIA → COP´S INGRESADOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,L,OCUPACIÓN PREVIA → COP´S INSCRITOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,M,OCUPACIÓN PREVIA → COP´S INSCRITOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,N,OCUPACIÓN PREVIA → COP´S INSCRITOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,O,OCUPACIÓN PREVIA → COP´S INSCRITOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,P,OCUPACIÓN PREVIA → COP´S INSCRITOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,Q,MODIFICATORIO → COP´S FIRMADOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,R,MODIFICATORIO → COP´S FIRMADOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,S,MODIFICATORIO → COP´S FIRMADOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,T,MODIFICATORIO → COP´S FIRMADOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,U,MODIFICATORIO → COP´S FIRMADOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,V,MODIFICATORIO → COP´S INGRESADOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,W,MODIFICATORIO → COP´S INGRESADOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,X,MODIFICATORIO → COP´S INGRESADOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,Y,MODIFICATORIO → COP´S INGRESADOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,Z,MODIFICATORIO → COP´S INGRESADOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AA,MODIFICATORIO → COP´S INSCRITOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AB,MODIFICATORIO → COP´S INSCRITOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AC,MODIFICATORIO → COP´S INSCRITOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AD,MODIFICATORIO → COP´S INSCRITOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AE,MODIFICATORIO → COP´S INSCRITOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AF,SUP. ADICIONAL → COP´S FIRMADOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AG,SUP. ADICIONAL → COP´S FIRMADOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AH,SUP. ADICIONAL → COP´S FIRMADOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AI,SUP. ADICIONAL → COP´S FIRMADOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AJ,SUP. ADICIONAL → COP´S FIRMADOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AK,SUP. ADICIONAL → COP´S INGRESADOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AL,SUP. ADICIONAL → COP´S INGRESADOS,A-P,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AM,SUP. ADICIONAL → COP´S INGRESADOS,Q-I,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AN,SUP. ADICIONAL → COP´S INGRESADOS,S-NL,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AO,SUP. ADICIONAL → COP´S INGRESADOS,DOS BOCAS,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,COP´S COLECTIVOS,AP,SUP. ADICIONAL → COP´S INSCRITOS,M-Q,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
